city_id,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature (F),Wind Speed,Date,City
299,0,CN,65,39.2333,106.7694,56.73,2.55,1619032935,shizuishan
300,100,PG,82,-3.6667,152.4333,77.76,2.62,1619032936,namatanai
301,36,RU,91,62.8833,152.4333,13.68,1.21,1619032936,seymchan
302,10,SO,48,9.56,44.065,75.18,3.0,1619032937,hargeysa
303,75,RU,53,64.5635,39.8302,46.4,20.13,1619032937,severodvinsk
304,100,ID,88,-0.9492,100.3543,76.48,1.79,1619032938,padang
305,20,IE,81,51.55,-9.2667,50.0,11.5,1619032938,skibbereen
306,100,BR,93,-1.195,-46.02,77.13,2.89,1619032938,carutapera
307,100,SL,85,7.5264,-12.505,80.78,5.97,1619032939,bonthe
308,40,UY,68,-34.6667,-54.9167,75.0,10.36,1619032849,maldonado
309,100,NA,70,-26.6481,15.1594,67.33,8.99,1619032939,luderitz
310,100,ID,86,4.1363,96.1285,77.86,3.67,1619032940,meulaboh
311,19,MR,6,20.5022,-10.0711,89.28,8.88,1619032940,adrar
312,100,AU,80,-34.7333,135.8667,59.49,12.91,1619032651,port lincoln
313,100,IN,35,27.9,79.2,77.0,6.29,1619032941,kakrala
314,40,CA,54,68.2191,-135.0107,24.8,10.36,1619032941,aklavik
315,100,RU,98,61.8099,36.5345,35.1,4.85,1619032942,pudozh
316,0,CL,68,-29.9533,-71.3436,66.2,14.97,1619032942,coquimbo
317,1,US,48,36.3008,-119.7829,66.99,6.91,1619032688,lemoore
318,10,TM,29,38.4362,57.4316,71.94,15.26,1619032943,baherden
319,75,RE,83,-21.3393,55.4781,77.0,12.66,1619032943,saint-pierre
320,100,MG,69,-13.2,49.05,77.34,7.74,1619032943,ambilobe
321,1,CA,40,55.2999,-123.1698,50.0,3.44,1619032944,mackenzie
322,0,ML,7,22.6783,-3.9836,93.97,7.65,1619032868,taoudenni
323,100,PH,91,15.7568,121.5503,76.78,4.83,1619032944,suclayin
324,92,ID,80,-3.6954,128.1814,80.67,4.68,1619032945,ambon
325,100,US,50,45.3038,-93.5672,41.0,10.25,1619032945,elk river
326,75,CA,61,50.2001,-66.3821,42.8,11.5,1619032946,sept-iles
327,75,US,56,39.447,-86.1758,46.0,13.8,1619032946,bud
328,75,GL,29,60.9167,-46.05,48.2,27.63,1619032663,narsaq
329,0,SA,20,26.326,43.975,82.4,2.3,1619032947,buraydah
330,5,MV,70,3.7833,72.9667,82.85,7.94,1619032947,mahibadhoo
331,15,RO,55,46.4333,26.4,46.99,5.48,1619032948,asau
332,100,CN,92,34.6836,112.4536,51.31,2.8,1619032948,luoyang
